PID,TIMELINE,SCORE
148796085, Timeline 4 (Density Graph + Event Blocks),0
148822625, Timeline 4 (Density Graph + Event Blocks),2
148904494, Timeline 4 (Density Graph + Event Blocks),1
148958404, Timeline 4 (Density Graph + Event Blocks),1
149094645, Timeline 4 (Density Graph + Event Blocks),1
149140946, Timeline 4 (Density Graph + Event Blocks),2
149185311, Timeline 4 (Density Graph + Event Blocks),2
149215102, Timeline 4 (Density Graph + Event Blocks),2
149353591, Timeline 4 (Density Graph + Event Blocks),2
149466211, Timeline 4 (Density Graph + Event Blocks),1
149508537, Timeline 4 (Density Graph + Event Blocks),2
149605649, Timeline 4 (Density Graph + Event Blocks),2
150389044, Timeline 4 (Density Graph + Event Blocks),0
150404083, Timeline 4 (Density Graph + Event Blocks),1
150404087, Timeline 4 (Density Graph + Event Blocks),2
150406438, Timeline 4 (Density Graph + Event Blocks),2
150461254, Timeline 4 (Density Graph + Event Blocks),0
150490423, Timeline 4 (Density Graph + Event Blocks),2
150502997, Timeline 4 (Density Graph + Event Blocks),1
150504800, Timeline 4 (Density Graph + Event Blocks),2
150506408, Timeline 4 (Density Graph + Event Blocks),2
150511275, Timeline 4 (Density Graph + Event Blocks),2
150520051, Timeline 4 (Density Graph + Event Blocks),0
150550616, Timeline 4 (Density Graph + Event Blocks),1
150595058, Timeline 4 (Density Graph + Event Blocks),2
150599446, Timeline 4 (Density Graph + Event Blocks),1
150614757, Timeline 4 (Density Graph + Event Blocks),2
150627078, Timeline 4 (Density Graph + Event Blocks),2
150630441, Timeline 4 (Density Graph + Event Blocks),2
150637363, Timeline 4 (Density Graph + Event Blocks),2
150639039, Timeline 4 (Density Graph + Event Blocks),1
150716670, Timeline 4 (Density Graph + Event Blocks),2
150743242, Timeline 4 (Density Graph + Event Blocks),2
150750066, Timeline 4 (Density Graph + Event Blocks),1
150825023, Timeline 4 (Density Graph + Event Blocks),2
150860818, Timeline 4 (Density Graph + Event Blocks),2
150877653, Timeline 4 (Density Graph + Event Blocks),2
150879454, Timeline 4 (Density Graph + Event Blocks),2
146201756, Timeline 5 (Event Thumbnails),2
146206265, Timeline 5 (Event Thumbnails),0
146207901, Timeline 5 (Event Thumbnails),2
146208061, Timeline 5 (Event Thumbnails),1
146210319, Timeline 5 (Event Thumbnails),1
146217689, Timeline 5 (Event Thumbnails),2
146266265, Timeline 5 (Event Thumbnails),2
146269551, Timeline 5 (Event Thumbnails),1
146273701, Timeline 5 (Event Thumbnails),1
146284478, Timeline 5 (Event Thumbnails),2
146313793, Timeline 5 (Event Thumbnails),2
146400674, Timeline 5 (Event Thumbnails),2
146411777, Timeline 5 (Event Thumbnails),1
146445266, Timeline 5 (Event Thumbnails),2
146490541, Timeline 5 (Event Thumbnails),0
146511990, Timeline 5 (Event Thumbnails),2
146559166, Timeline 5 (Event Thumbnails),2
146771812, Timeline 5 (Event Thumbnails),2
146772938, Timeline 5 (Event Thumbnails),1
146816020, Timeline 5 (Event Thumbnails),1
146859309, Timeline 5 (Event Thumbnails),0
146919962, Timeline 5 (Event Thumbnails),2
146933121, Timeline 5 (Event Thumbnails),2
146941069, Timeline 5 (Event Thumbnails),2
146944030, Timeline 5 (Event Thumbnails),1
146948076, Timeline 5 (Event Thumbnails),2
146972571, Timeline 5 (Event Thumbnails),0
146975491, Timeline 5 (Event Thumbnails),1
147001785, Timeline 5 (Event Thumbnails),2
147004721, Timeline 5 (Event Thumbnails),1
147051997, Timeline 5 (Event Thumbnails),2
147183355, Timeline 5 (Event Thumbnails),2
147307347, Timeline 5 (Event Thumbnails),1
147308681, Timeline 5 (Event Thumbnails),2
147328880, Timeline 5 (Event Thumbnails),1
147340531, Timeline 5 (Event Thumbnails),2
147430481, Timeline 5 (Event Thumbnails),0
147494993, Timeline 5 (Event Thumbnails),0
147558243, Timeline 5 (Event Thumbnails),1
147653631, Timeline 5 (Event Thumbnails),2
147752820, Timeline 5 (Event Thumbnails),2
147753370, Timeline 5 (Event Thumbnails),2
147842712, Timeline 5 (Event Thumbnails),1
147906122, Timeline 5 (Event Thumbnails),1
147914321, Timeline 5 (Event Thumbnails),1
147916593, Timeline 5 (Event Thumbnails),1
148060312, Timeline 5 (Event Thumbnails),0
148063802, Timeline 5 (Event Thumbnails),0
148063804, Timeline 5 (Event Thumbnails),0
148063807, Timeline 5 (Event Thumbnails),1
148072624, Timeline 5 (Event Thumbnails),2
148087855, Timeline 5 (Event Thumbnails),1
148088832, Timeline 5 (Event Thumbnails),2
148121369, Timeline 5 (Event Thumbnails),1
148121371, Timeline 5 (Event Thumbnails),1
148121544, Timeline 5 (Event Thumbnails),0
148121549, Timeline 5 (Event Thumbnails),0
148191331, Timeline 5 (Event Thumbnails),2
148225108, Timeline 5 (Event Thumbnails),2
148242096, Timeline 5 (Event Thumbnails),2
148250834, Timeline 5 (Event Thumbnails),2
148355343, Timeline 5 (Event Thumbnails),1
148379134, Timeline 5 (Event Thumbnails),1
148457705, Timeline 5 (Event Thumbnails),1
148463769, Timeline 5 (Event Thumbnails),2
148516311, Timeline 5 (Event Thumbnails),2
148547931, Timeline 5 (Event Thumbnails),2
148551719, Timeline 5 (Event Thumbnails),2
148552210, Timeline 5 (Event Thumbnails),1
148558714, Timeline 5 (Event Thumbnails),2
148561559, Timeline 5 (Event Thumbnails),2
148743058, Timeline 5 (Event Thumbnails),2
148768751, Timeline 5 (Event Thumbnails),2
148783679, Timeline 5 (Event Thumbnails),2
148784892, Timeline 5 (Event Thumbnails),2
148786365, Timeline 5 (Event Thumbnails),2
148796085, Timeline 5 (Event Thumbnails),1
148822625, Timeline 5 (Event Thumbnails),1
148904494, Timeline 5 (Event Thumbnails),2
148958404, Timeline 5 (Event Thumbnails),2
149094645, Timeline 5 (Event Thumbnails),0
149140946, Timeline 5 (Event Thumbnails),1
149185311, Timeline 5 (Event Thumbnails),2
149215102, Timeline 5 (Event Thumbnails),2
149353591, Timeline 5 (Event Thumbnails),1
149466211, Timeline 5 (Event Thumbnails),2
149508537, Timeline 5 (Event Thumbnails),2
149605649, Timeline 5 (Event Thumbnails),2
150389044, Timeline 5 (Event Thumbnails),1
150404083, Timeline 5 (Event Thumbnails),2
150404087, Timeline 5 (Event Thumbnails),2
150406438, Timeline 5 (Event Thumbnails),1
150461254, Timeline 5 (Event Thumbnails),1
150490423, Timeline 5 (Event Thumbnails),2
150502997, Timeline 5 (Event Thumbnails),1
150504800, Timeline 5 (Event Thumbnails),2
150506408, Timeline 5 (Event Thumbnails),2
150511275, Timeline 5 (Event Thumbnails),2
150520051, Timeline 5 (Event Thumbnails),1
