Response ID,Timeline Used Value,Timeline Used Value Decrypted,Timeline Type (TimelinesUsed),Timeline Type (User Entry),Video Name,(Original Answer) 1. I think that I would like to use this UI frequently,(Original Answer) 2. I found the UI unnecessarily complex,(Original Answer) 3. I thought the UI was easy to use,(Original Answer) 4. I think that I would need the support of a technical person to be able to use this UI,(Original Answer) 5. I found the various functions in this UI were well integrated,(Original Answer) 6. I thought there was too much inconsistency in this UI,(Original Answer) 7. I would imagine that most people would learn to use this UI very quickly,(Original Answer) 8. I found the UI very cumbersome to use,(Original Answer) 9. I felt very confident using the UI,(Original Answer) 10. I needed to learn a lot of things before I could get going with this UI,(Adjusted Answer) 1. I think that I would like to use this UI frequently,(Adjusted Answer) 2. I found the UI unnecessarily complex,(Adjusted Answer) 3. I thought the UI was easy to use,(Adjusted Answer) 4. I think that I would need the support of a technical person to be able to use this UI,(Adjusted Answer) 5. I found the various functions in this UI were well integrated,(Adjusted Answer) 6. I thought there was too much inconsistency in this UI,(Adjusted Answer) 7. I would imagine that most people would learn to use this UI very quickly,(Adjusted Answer) 8. I found the UI very cumbersome to use,(Adjusted Answer) 9. I felt very confident using the UI,(Adjusted Answer) 10. I needed to learn a lot of things before I could get going with this UI,Adjusted Answer Sum,SUS Score
148355343, 69599, 231, Timeline 1 (Base Interface), Timeline 2 (Density Graph), VIRAT_S_0102, 4, 2, 4, 2, 4, 2, 4, 2, 4, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 30, 75.0
148355343, 69370, 2, Timeline 2 (Density Graph), Timeline 1 (Base Interface), VIRAT_S_0400, 3, 2, 4, 2, 4, 2, 4, 2, 4, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 29, 72.5
148355343, 69391, 23, Timeline 3 (Event Blocks), Timeline 1 (Base Interface), VIRAT_S_0500, 4, 4, 4, 2, 4, 2, 4, 2, 4, 2, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 28, 70.0
148250834, 69611, 243, Timeline 3 (Event Blocks), Timeline 3 (Event Blocks), VIRAT_S_0002, 5, 2, 4, 2, 4, 1, 4, 2, 5, 2, 4, 3, 3, 3, 3, 4, 3, 3, 4, 3, 33, 82.5
148250834, 93719, 24351, Timeline 1 (Base Interface), Timeline 1 (Base Interface), VIRAT_S_0100, 3, 1, 4, 1, 4, 1, 5, 5, 2, 1, 2, 4, 3, 4, 3, 4, 4, 0, 1, 4, 29, 72.5
148250834, 69370, 2, Timeline 2 (Density Graph), Timeline 2 (Density Graph), VIRAT_S_0102, 4, 2, 4, 1, 4, 2, 5, 4, 4, 2, 3, 3, 3, 4, 3, 3, 4, 1, 3, 3, 30, 75.0
148250834, 69392, 24, Timeline 4 (Density Graph + Event Blocks), Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0400, 5, 3, 4, 2, 4, 2, 4, 2, 5, 1, 4, 2, 3, 3, 3, 3, 3, 3, 4, 4, 32, 80.0
148250834, 71803, 2435, Timeline 5 (Event Thumbnails), Timeline 5 (Event Thumbnails), VIRAT_S_0500, 5, 2, 5, 1, 4, 2, 4, 1, 5, 2, 4, 3, 4, 4, 3, 3, 3, 4, 4, 3, 35, 87.5
148242096, 69510, 142, Timeline 2 (Density Graph), Timeline 2 (Density Graph), VIRAT_S_0002, 2, 3, 2, 2, 2, 3, 4, 4, 3, 2, 1, 2, 1, 3, 1, 2, 3, 1, 2, 3, 19, 47.5
148242096, 70791, 1423, Timeline 3 (Event Blocks), Timeline 3 (Event Blocks), VIRAT_S_0100, 4, 2, 4, 2, 4, 2, 4, 2, 4, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 30, 75.0
148242096, 69382, 14, Timeline 4 (Density Graph + Event Blocks), Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0102, 4, 2, 4, 2, 4, 2, 4, 2, 4, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 30, 75.0
148242096, 69369, 1, Timeline 1 (Base Interface), Timeline 1 (Base Interface), VIRAT_S_0400, 4, 2, 4, 2, 4, 2, 4, 2, 4, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 30, 75.0
