PID,TIMELINE,VIDEO,SUS
147328880, Timeline 5 (Event Thumbnails), VIRAT_S_0400,77.5
147328880, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0500,77.5
147308681, Timeline 1 (Base Interface), VIRAT_S_0002,65
147308681, Timeline 3 (Event Blocks), VIRAT_S_0100,65
147308681, Timeline 5 (Event Thumbnails), VIRAT_S_0102,70
147308681, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0400,72.5
147308681, Timeline 2 (Density Graph), VIRAT_S_0500,57.5
147307347, Timeline 2 (Density Graph), VIRAT_S_0002,50
147307347, Timeline 3 (Event Blocks), VIRAT_S_0100,50
147307347, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0102,42.5
147307347, Timeline 5 (Event Thumbnails), VIRAT_S_0400,42.5
147307347, Timeline 1 (Base Interface), VIRAT_S_0500,25
147183355, Timeline 1 (Base Interface), VIRAT_S_0002,50
147183355, Timeline 3 (Event Blocks), VIRAT_S_0100,95
147183355, Timeline 2 (Density Graph), VIRAT_S_0102,55
147183355, Timeline 5 (Event Thumbnails), VIRAT_S_0400,100
147183355, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0500,97.5
147051997, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0002,60
147051997, Timeline 5 (Event Thumbnails), VIRAT_S_0100,70
147051997, Timeline 2 (Density Graph), VIRAT_S_0102,80
147051997, Timeline 3 (Event Blocks), VIRAT_S_0400,82.5
147051997, Timeline 1 (Base Interface), VIRAT_S_0500,55
147004721, Timeline 1 (Base Interface), VIRAT_S_0002,50
147004721, Timeline 5 (Event Thumbnails), VIRAT_S_0100,50
147004721, Timeline 3 (Event Blocks), VIRAT_S_0102,50
147004721, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0400,50
147004721, Timeline 2 (Density Graph), VIRAT_S_0500,50
147001785, Timeline 2 (Density Graph), VIRAT_S_0002,40
147001785, Timeline 3 (Event Blocks), VIRAT_S_0100,62.5
147001785, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0102,70
147001785, Timeline 5 (Event Thumbnails), VIRAT_S_0400,70
147001785, Timeline 1 (Base Interface), VIRAT_S_0500,75
146975491, Timeline 3 (Event Blocks), VIRAT_S_0002,67.5
146975491, Timeline 2 (Density Graph), VIRAT_S_0100,70
146975491, Timeline 5 (Event Thumbnails), VIRAT_S_0102,32.5
146975491, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0400,72.5
146975491, Timeline 1 (Base Interface), VIRAT_S_0500,67.5
146972571, Timeline 2 (Density Graph), VIRAT_S_0002,30
146972571, Timeline 5 (Event Thumbnails), VIRAT_S_0100,90
146972571, Timeline 3 (Event Blocks), VIRAT_S_0102,65
146972571, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0400,100
146972571, Timeline 1 (Base Interface), VIRAT_S_0500,2.5
146948076, Timeline 2 (Density Graph), VIRAT_S_0002,60
146948076, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0100,70
146948076, Timeline 5 (Event Thumbnails), VIRAT_S_0102,97.5
146948076, Timeline 1 (Base Interface), VIRAT_S_0400,65
146948076, Timeline 3 (Event Blocks), VIRAT_S_0500,67.5
146944030, Timeline 2 (Density Graph), VIRAT_S_0002,67.5
146944030, Timeline 5 (Event Thumbnails), VIRAT_S_0100,47.5
146944030, Timeline 3 (Event Blocks), VIRAT_S_0102,75
146944030, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0400,75
146944030, Timeline 1 (Base Interface), VIRAT_S_0500,67.5
146941069, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0002,75
146941069, Timeline 1 (Base Interface), VIRAT_S_0100,55
146941069, Timeline 3 (Event Blocks), VIRAT_S_0102,72.5
146941069, Timeline 5 (Event Thumbnails), VIRAT_S_0400,87.5
146941069, Timeline 2 (Density Graph), VIRAT_S_0500,67.5
146933121, Timeline 2 (Density Graph), VIRAT_S_0002,87.5
146933121, Timeline 5 (Event Thumbnails), VIRAT_S_0100,95
146933121, Timeline 1 (Base Interface), VIRAT_S_0102,12.5
146933121, Timeline 3 (Event Blocks), VIRAT_S_0400,82.5
146933121, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0500,80
146919962, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0002,62.5
146919962, Timeline 1 (Base Interface), VIRAT_S_0100,60
146919962, Timeline 2 (Density Graph), VIRAT_S_0102,72.5
146919962, Timeline 5 (Event Thumbnails), VIRAT_S_0400,75
146919962, Timeline 3 (Event Blocks), VIRAT_S_0500,75
146859309, Timeline 3 (Event Blocks), VIRAT_S_0002,50
146859309, Timeline 5 (Event Thumbnails), VIRAT_S_0100,50
146859309, Timeline 2 (Density Graph), VIRAT_S_0102,50
146859309, Timeline 1 (Base Interface), VIRAT_S_0400,50
146859309, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0500,50
146816020, Timeline 5 (Event Thumbnails), VIRAT_S_0002,55
146816020, Timeline 3 (Event Blocks), VIRAT_S_0100,85
146816020, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0102,82.5
146816020, Timeline 1 (Base Interface), VIRAT_S_0400,65
146816020, Timeline 2 (Density Graph), VIRAT_S_0500,85
146772938, Timeline 2 (Density Graph), VIRAT_S_0002,80
146772938, Timeline 3 (Event Blocks), VIRAT_S_0100,80
